[19:53:40] - console - Welcome
[19:53:40] - console - Starting new log session
[19:53:53] - console - Initializing player 1 "human"
[19:53:53] - console - Initializing player 2 "Cortana"
[19:53:53] - console - Starting match
[19:53:58] - human - Moving "b2 b4"
[19:53:58] - Cortana - Moving "A7 A6"
[19:54:01] - human - Moving "b4 b5"
[19:54:01] - Cortana - Moving "G8 H6"
[19:54:10] - human - Moving "b5 a6"
[19:54:10] - Cortana - Moving "A8 A7"
[19:54:33] - human - Moving "c1 a3"
[19:54:33] - Cortana - Moving "B8 A6"
[19:54:41] - human - Moving "b1 c3"
[19:54:41] - Cortana - Moving "H6 F5"
[19:54:53] - human - Moving "e2 e4"
[19:54:53] - Cortana - Moving "A6 B4"
[19:55:01] - human - Moving "d1 h5"
[19:55:01] - Cortana - Moving "F5 D6"
[19:55:07] - human - Moving "e1 c1"
[19:55:07] - Cortana - Moving "H8 G8"
[19:55:45] - human - Moving "d1 e1"
[19:55:45] - Cortana - Moving "E7 E6"
[19:55:51] - human - Moving "e1 e3"
[19:55:51] - Cortana - Moving "B7 B6"
[19:55:54] - human - Moving "e3 f3"
[19:55:54] - Cortana - Moving "A7 A5"
[19:56:12] - human - Moving "h5 f7"
[19:56:12] - Cortana - Moving "D6 F7"
[19:56:51] - human - Moving "a3 b4"
[19:56:51] - Cortana - Moving "A5 G5"
[19:57:11] - human - Moving "d2 d4"
[19:57:11] - Cortana - Moving "G8 H8"
[19:57:29] - human - Moving "d4 d5"
[19:57:29] - Cortana - Moving "D7 D6"
[19:57:48] - human - Moving "f1 a6"
[19:57:48] - Cortana - Moving "G5 D5"
[19:58:07] - human - Moving "c3 d5"
[19:58:07] - Cortana - Moving "E6 D5"
[19:58:27] - human - Moving "e4 d5"
[19:58:27] - Cortana - Moving "H8 G8"
[19:58:51] - human - Moving "f3 g3"
[19:58:51] - Cortana - Moving "C7 C6"
[19:58:57] - human - Moving "g3 g7"
[19:58:57] - Cortana - Moving "D8 C7"
[19:59:01] - human - Moving "g7 g8"
[19:59:01] - Cortana - Moving "C7 E7"
[19:59:46] - human - Moving "a6 c8"
[19:59:46] - Cortana - Moving "H7 H5"
[19:59:55] - human - Moving "a2 a4"
[19:59:55] - Cortana - Moving "E7 A7"
[19:59:59] - human - Moving "a4 a5"
[19:59:59] - Cortana - Moving "B6 A5"
[20:00:13] - human - Moving "b4 d6"
[20:00:13] - Cortana - Moving "C6 D5"
[20:00:30] - human - Moving "g8 f8"
[20:00:30] - human - Enemy king in Mate!
[20:00:30] - console - Game ended
[20:00:30] - console - Ending log session
